"participant","alpha","beta","gamma","SSE"
71,0.278788390614029,0.561715182860417,0.105887010790931,2.12225623431663
72,0.55606656315123,0.37634532905904,0.0981238246608108,1.10483405770536
73,0.453026784425986,1.26851150561536,0.0879924220653298,3.39665154828219
74,0.471011730349429,0.180893343058713,0.38077179011439,0.351275920331446
75,0.506083111850193,0.280666825546098,0.307053883132095,0.450726403692555
76,0.44808605547052,0.585782631528182,0.142046077723081,0.543417780613124
77,0.513539877377765,-0.030025670428017,8.0218358540635e-15,0.41636145825789
78,0.0919037172219318,0.110453091343028,0.723480283989127,0.437515685232213
79,0.43910723551046,0.986589431074338,2.22432286477165e-16,1.27881985316217
80,0.464537129044921,0.76994411987744,0.0872162108428149,0.582017340707449
81,0.415005990823132,0.804258627309894,0.121105870803445,0.924728525882775
82,0.506947592912426,0.853579060508346,0.0514176662091557,0.530357726904621
83,0.491285371999042,0.974042609026758,0.063691980912002,1.63176741045444
84,0.553543259221207,0.599913234460226,0.185487369883887,2.10781666335092
85,0.500697869728103,0.899381536937129,0.0146968527445153,1.15283736429663
86,0.512395950782213,0.138146110589845,0.980410136494456,0.20098211470094
87,0.479188612474088,0.786571527156773,0.107604574104827,0.518136894758537
88,0.436657080198196,0.664144521742613,0.080975457600292,2.80715785625816
89,0.19005598847184,-0.0155975225108075,1.64602510175432e-14,0.216198062482281
90,0.486187807741861,0.318679556196445,0.649592505710584,0.72640228860947
91,0.761755033304233,0.0129609144547499,0.676534385424743,0.088914082906294
92,0.396525310704477,0.524778404139787,0.634977914212226,1.63933886402948
93,0.475268219194077,0.885562122041742,0.00278191493459815,1.51452434883395
94,0.303938691523627,0.568769124506825,0.709515786184181,3.93995972553934
95,-0.0458196459780817,0.0816586579877812,0.999999999999939,1.79115041824848
96,0.232541231299598,0.212855459731433,0.803947462817914,2.63593011161805
97,0.53652161890081,-0.019177567708293,0.999994225293933,0.343871724008612
98,0.427908935886005,0.440474477172989,0.417730173168584,1.90327093964347
99,0.504020725998976,0.88610865215316,0.0186370691335806,0.175127498959077
100,0.429957524205978,0.594633911847647,0.434498739167596,1.00474541444977
101,0.430186213297378,0.983981210603163,0.00109197133328327,1.63861676572343
102,0.321857067960803,0.376639813239644,0.298557307008579,3.07547619905586
103,0.246351481495643,0.234644176261104,0.801154873159681,1.01934653438454
104,0.483038182039475,1.05270176633194,2.50427816008693e-16,2.28910983699858
105,0.496008544352528,0.781388432801968,0.0331846336159219,0.261771073100586
106,0.495038133036891,0.0476196750187071,0.34623024366751,0.193624070135709
107,0.461406747590786,0.510025789789556,0.451303495037884,2.06586644799184
108,0.496821762935033,0.384873644229438,0.233749226372262,1.45022125513215
109,0.364005108261157,0.768332163854044,0.780880801171385,2.93003970828824
110,0.47270797519507,0.59374770698688,0.0101211328116615,0.779215374164463
111,0.493901396563895,0.52417176589297,0.454629700415405,2.45253197775379
112,0.450374791532324,0.982502223229171,3.59907813757043e-17,2.72058324654154
113,0.865733044137482,0.0420823396691711,0.827491427555188,0.261318838295337
114,0.532648509384683,1.07311556813874,0.0476080820683886,1.17850827792511
115,0.576218432165733,0.761144513472797,0.231561321122821,4.53937083213311
116,0.597947293359924,0.437592519969423,0.29087745706911,1.82414548598889
117,0.49119355774996,0.815983373431497,2.71058277694446e-16,2.30825861071085
118,0.526149977252681,0.286126217089643,0.688439993727686,3.94201063040552
119,0.313503678480083,0.537650741934826,0.682551166572766,3.37352264513347
120,0.331331442031558,0.636582682120862,0.827603288694709,3.46269530893375
121,0.485092274069109,0.936387768991147,0.118879511779815,1.35037705261048
122,0.409672870768163,0.407014737953797,0.820933589555148,0.722785363195663
123,0.436466447885794,0.649387669355599,0.0848973852542551,3.01360604935018
124,0.520260193015786,0.949096367065561,0.0147827538311712,3.38743093954245
125,0.48089764075413,0.874001179113265,0.055536621427294,0.749357484050344
126,0.257029022683338,0.345260974270183,0.84106483330258,2.43048532126367
127,0.496900487907788,0.611976691179817,0.316034317031434,0.879821967158688
128,0.241297950891621,0.249254529564241,0.742784249945295,4.56040595858552
129,0.480340198475263,0.919404789884228,0.01958054648098,0.819483031059581
130,0.477103691487741,0.82969259772294,3.07557500657314e-16,1.43701040477309
131,0.159724114110002,0.303645295791609,0.845149240938059,1.29336459758959
132,0.466024648439525,0.871204002334904,0.0375525409949904,0.98524705081978
133,0.48923199127752,0.579927647481324,0.112305971236974,1.11799853451484
134,0.476471872543326,0.810078515299555,0.0293826628422969,0.897549472356875
135,0.418555598779639,0.681570013409108,0.272499433851274,0.738627703091918
136,0.459358819127407,0.95631272276269,0.065423604072971,1.53407428088183
137,0.230337784833574,0.29585604876685,0.834109634256689,1.6040255947875
138,0.389259593686257,0.700894557914716,0.44411726651146,2.9040440022848
139,0.496432535407104,0.602231347291809,0.365674595226792,1.2764842241877
140,0.321313718300915,0.0382660410221499,0.999999999546548,0.808285408072493
141,0.487882304998383,0.325554880216209,0.347652585469937,1.88381603793869
142,0.403129177916199,0.281420652872056,0.578904414206782,1.14550045769939
143,0.499735339225359,0.798315903737986,0.0297884207609673,0.297855474370448
144,0.459373704104007,1.2080310545183,0.0568636265910346,3.91465600544545
145,0.42242800885605,0.870961445592175,0.123212593781326,2.08636795485168
146,0.163611603615516,0.359155902054264,0.714414659847357,1.1121987182275
147,0.15345594296806,0.146805784957694,0.757371984380188,8.9102230996928
148,0.469514267412031,0.886109018247151,0.0131724870772665,2.40619329960778
149,0.499372353372214,0.955780942072672,0.0215244939221954,1.25367978224344
150,0.468321438483953,0.957308960468301,0.0210566888949204,1.17075452379985
151,0.486289184030991,1.1990585512894,0.0200261516974496,2.2932011143691
152,0.383943738077978,0.365859443938036,0.940261320683212,1.10917546517024
153,0.476307747534847,0.559999071970238,8.72976332233995e-17,2.40887434759557
154,0.50486957093583,0.791833809642496,0.0280316242222334,0.174533577125576
155,0.506150091441355,0.558130808684313,0.362799765596123,1.55648438832128
156,0.502734809075297,0.85396106143494,0.155953142792206,0.843996436880657
157,0.311390374422397,0.619119809906443,0.327840433645478,1.75259847749183
158,0.586464755910589,0.317998489334246,0.744214438364204,2.9856680376317
159,0.466874402061933,0.0782926164085485,0.824768864421243,0.123686378139771
160,0.174390862121974,0.216894009453208,0.737705213128593,4.42489939931465
161,0.33942509927682,0.313134127049583,0.840626338903238,1.23640516167605
162,0.251544858760668,0.276012059257419,0.725101524193901,3.32231488777786
163,0.277056459924154,0.359121952587164,0.745773167710372,1.28334472307781
164,0.216221709212348,0.415152002062291,0.752435232595912,2.28876778427542
165,0.46012695568604,0.63913166217572,0.28704940612128,1.68783193061512
166,0.407788923710204,0.679659599949269,0.154809041208327,1.54426042397411
167,0.452553591735789,1.15341958908824,0.128674076334766,1.35090318850345
168,0.392969976608832,0.33491568376637,0.168212822877992,3.01770611892045
169,0.532700027401749,0.253997749242233,0.901282077399328,0.470901154544043
170,0.463893774176148,0.970328724150924,0.100163877273717,0.60315522457396
171,0.460392624404739,0.869799936776174,0.049259894307159,0.670939612413084
172,0.518017592340751,0.198039242828192,0.815302108485468,0.208863178415477
173,0.459989089091617,0.997444924845504,0.257543762413494,1.68020090474281
174,0.506280382092691,0.650888567579305,0.119025421526183,0.76823325155407
175,0.406279572052159,0.726673466314816,0.352999774722044,1.54930542000868
176,0.386687701653916,0.264495331326375,0.772497062487802,0.936614930628659
177,0.405268792377156,0.484227407863948,0.636412810976255,1.27061472988087
178,0.243931666161842,0.463689877734173,0.95531441860784,1.53431774073451
179,0.260019150340998,0.313156615108401,0.819094628059852,4.42709839434163
180,0.862375542239654,0.199807396755799,0.321701218130516,0.723641517705444
181,0.436468076506337,1.02052826789183,0.091938838075765,2.08530580511468
182,0.426360150008557,0.911776951389691,0.26542682361088,2.3640141526668
183,0.518485104463426,0.496206966339444,0.0599535518089145,5.47441972002052
184,0.448260550521278,0.523748531573613,0.115416850216948,1.15019722669521
185,0.394741994631883,0.53389966542423,0.462116973913187,1.35430770307364
186,0.438842048877501,0.938052723142152,0.0131889853234282,1.47639785385582
187,0.580528449252628,0.535215899620917,0.1517471830906,0.616385260232499
188,0.35880262050525,0.594513056202343,0.740126061029981,1.25500291352063
189,0.454316168079328,1.08666603437264,1.44316107903342e-16,2.63814769816899
190,0.448894381236258,1.21215389855257,2.06149488243271e-16,3.47306206512837
191,0.437227563030478,0.633284299750139,0.264268834377446,2.02893847841623
192,0.430624879500273,0.782071519564103,0.0964800919397657,1.79702922943346
193,0.525348262248448,0.579999399821737,0.375556571117601,0.788678028994745
194,0.426715335021899,0.911821550812222,0.0739230377060401,1.24769433415671
195,0.817730834869648,0.131164435907753,0.415794124733598,0.146731521746721
196,0.592269885298131,0.415476280492476,0.0537163038365782,2.15837598082858
197,0.474566873476538,0.986285692839317,0.0175665406275925,0.363359811322629
198,0.472526886105794,0.842157032160981,0.0905657224443286,0.80808529864817
199,0.436298331922461,0.481452433703719,0.495589374520089,0.916574570438021
200,0.510717708004568,0.932976927442057,0.139596455914609,2.03429646959138
201,0.482998793815951,0.747509058018739,0.0532114443384168,0.970928298761122
202,0.353218290141114,0.874648913763777,0.330337648686227,2.11983205394272
203,0.46766505990374,0.550402821430177,0.706617190339314,1.6993107627191
204,0.517939041490512,0.879482182906897,0.110058502714545,0.77034464847099
205,0.639311256238906,0.145417087451754,0.273539830065735,1.9888819204471
206,0.382094801239083,0.250297956024847,0.438149484148591,0.688091855915139
207,0.474913992048945,0.393066871824814,0.233242713330051,0.570274130684617
208,0.168198985413153,0.473068010722491,0.462512503089267,1.18068097226808
209,0.207011955100108,0.223467773437023,0.578252876731671,7.60609573400945
210,0.434719611593536,0.543262853007543,0.648811004030477,1.27646680555567
211,0.472913715720713,0.933459540928704,0.0354239854790936,1.31584834164823
212,0.429698360978676,0.792883243596499,0.172759744496371,1.14152867350055
213,0.497782160148301,1.0517848918937,8.48454169468179e-17,1.47661633516293
214,0.62102551164395,0.68812365266163,0.0501264399475469,2.61522933147382
215,0.472267331879449,1.06957141301201,0.0669245180003579,2.06970151235974
216,0.478605699995102,0.925947827362121,0.0199805323344811,1.44839306599495
217,0.298987457576049,0.0201333248660364,0.724263440300141,0.170231592640545
218,0.298981337913161,0.755138286904828,0.114910542990522,4.5587241446338
219,0.524791585282758,0.46931676379133,0.328437421581935,0.722166300096157
220,0.491289341092909,0.66743037256324,0.224490980315923,2.53645239022847
221,0.50345130332348,0.0949262454559839,0.035679836630009,1.35881602852361
222,0.518520448015042,0.350094126116326,4.10457941261332e-16,0.858744790652386
223,0.499819269780601,0.966261641895536,0.0553633151113193,0.48715598091042
224,0.68409811844702,0.433115923501804,0.550118223275362,0.351887507761261
225,0.11623984725139,0.124553430807803,0.712231171640568,1.10611845702542
226,0.484553067279463,0.432514116689748,4.69518426586537e-15,1.31047840778968
227,0.369498824219208,0.680952687528697,0.28627673383572,1.38046127551575
228,0.485139112633551,1.07289738417528,0.110370308193819,1.18428675459249
229,0.591300298729628,0.185413473102652,0.484050233835134,0.327903037403085
230,0.57036505374758,0.141849881592936,0.747537609424387,0.70058824944405
231,0.441054378393884,1.08511606525548,2.12235290160065e-16,1.95914141156534
232,0.510143706882842,0.771019685077104,0.0181783619066953,0.503851646264096
233,0.466642261813214,0.745779597916404,0.1892323055938,1.13261088624441
234,0.386209871444216,0.303972412484343,0.142791508468215,0.647995277325707
235,0.497825370922415,0.86275341457092,0.14195653698458,1.47703665091255
236,0.326593801903009,0.553512839551069,0.635147939976518,1.2169418826216
237,0.461648148290138,0.884790141947257,0.0709520433667986,0.94615871561124
238,0.379693731333149,0.452366581470569,0.871278302566516,1.13100488819712
239,0.209322637269072,0.295305658958832,0.853588266349915,4.85283515377359
240,0.384680798484488,0.344653893521245,0.11345358855555,1.18500116117311
241,0.535379238171484,-0.0203362836206801,0.999999999996632,0.191427791544468
242,0.327468519523142,0.61332784405062,0.269131062376218,1.28777638707038
243,0.152059307473714,0.130525613827757,0.718110179864234,2.15142315929995
244,0.450178118643441,0.58574733597012,0.0495429397645961,0.934160252513411
245,0.467999850491191,0.58062316492923,0.0459727363742545,1.03372726476315
246,0.484289447776638,0.959594703183648,5.2709079945949e-18,1.40053523226109
247,0.465485718253586,0.653735513258674,0.0763098934977602,0.973746192574939
248,0.47635413426791,0.432527881169049,0.590202153248035,0.733934783840031
249,0.485046331671303,0.0106869468656186,0.97832367767817,0.0249054719214855
250,0.486858843505626,0.329603730087885,0.0462936518076233,0.474446646839663
251,0.392279782792424,0.562293275208639,0.357296829921141,2.52434232019011
252,0.465241394911405,0.766424640259853,0.12867879944475,1.43930400950559
253,0.480992276803206,0.49766144009385,0.291245322480604,1.8599509490565
254,0.464503297422269,0.275094147744965,0.248201973514295,0.450424580387469
255,0.503386247185802,0.721623248459569,0.0148960140323914,1.02506605935129
256,0.405738474353078,0.673116797839892,0.343846283357909,1.41621815728141
257,0.564125693441824,0.773043902148914,0.253840571845171,4.36330448867343
258,0.582037093350128,0.15944975549411,0.741691806198879,1.80760427592625
259,0.447407155645261,0.563424326053081,0.154731202946725,1.71777207783574
260,0.463810068470461,0.891246082891888,0.0717076307332907,1.0864392787421
261,0.314832549945303,0.269516438245311,0.531792556045041,1.71873835058987
262,0.52566306718205,0.508966140108086,0.0674187169671963,1.54265203659777
263,0.307224563515954,-2.05178320553094e-17,0.0676893710941718,0
264,0.480634933350737,0.916487643994408,1.53910093194268e-14,1.40137781993621
265,0.413969049844514,0.784907785316937,0.095822262220924,2.2836511083292
266,0.509159620940736,0.433807100542114,0.51165067073504,0.882178394565309
267,0.474872524185709,0.432078235314606,0.16829428500848,0.447517228266404
268,0.42599647627018,0.129038961339628,0.0802846798714616,1.62796876066262
269,0.418503659878918,0.798072365220321,0.144800961711086,1.26650622034784
270,0.452160100515382,0.506122922547261,0.549094198599357,2.14822557954604
271,0.398628099802979,0.842172573430767,0.2405172832891,1.13784324719566
272,0.52269624386647,0.126926924417274,0.17135599438591,0.437515333881589
273,0.436648281659423,0.263388609147096,0.794332586832526,1.05765401468672
274,0.579335390396967,0.340334633171782,0.427140023901456,0.603985687885877
275,0.404892162030236,0.441902423142969,0.0656825450281079,2.62620664082593
276,0.510384094924701,0.836259181239629,0.234309575935863,2.24104661027818
277,0.518255811234811,0.473452674331114,1.33934110052993e-17,0.428009561974258
278,0.438866390944674,0.338696895783145,0.57851640956676,0.932769029776072
279,0.508766059921655,0.245687172283936,0.0833561604297983,1.21965371659295
280,0.485718815160252,0.769532553713032,7.33011611292419e-17,0.56676649518802
281,0.48069977857832,0.455678227988423,0.589793557643255,1.93144523263847
282,0.366940990245883,0.755209084285673,0.18968932865992,1.78560862891556
283,0.145442459912961,0.282107645452489,0.758507809248689,2.41131775167187
284,0.269294390639318,0.070874752355697,0.798894769938056,0.792198271768346
285,0.500165150309407,0.87652853553243,8.14727012169202e-16,0.626402496669664
286,0.47512934095465,1.20682614181267,5.41204761191204e-16,4.06299349440252
287,0.437709444929611,0.907596262093272,0.400224180860099,1.32910099603522
288,0.601223447758336,-0.0687218274306916,0.999999757340129,0.338958503769054
289,0.463036817950499,0.678022754202491,0.122991386186287,2.09103808516857
290,0.573176620871793,0.252298702348599,0.886656577451242,4.37304233619756
291,0.899526713547989,-0.131479023168293,0.999999400424295,1.37181739539469
292,0.343217715206508,0.532942843377563,0.76452809001779,0.884909322851917
293,0.470394324720179,1.09536387399393,1.2764124647883e-15,2.43310958131157
294,0.532966373513883,0.290627694961623,0.762205607575783,1.31220552491758
295,0.505599960541809,0.610994022290829,0.122343963424094,1.68464973507616
296,0.514439859533883,0.720787681846448,0.177090901172712,0.936879172497618
297,0.482441303812478,0.368516843994048,0.223149820595753,0.400191196400903
298,0.307623952481156,0.629630096195345,0.482912225634997,4.21228698196395
299,0.513266844992904,0.855900650930678,0.110487046147789,0.568461563164394
300,0.471941173256024,0.880258707220596,5.19418733162617e-16,1.42942418433139
301,0.522205181257407,0.640447132326197,0.253664770870667,2.10858616446215
302,0.513132658179356,0.43294607485675,4.00336394295237e-17,2.32034660192448
303,0.682031508501653,0.0303480410848679,0.999999999337995,0.127489541634677
304,0.517803184782542,0.303200196576166,0.0678648916851577,0.714748883864932
305,0.476135022388687,0.945623667228262,0.124220016402356,1.39887317820761
306,0.404489150008846,0.393716516830921,0.806046537277383,0.972699448401937
307,0.455420805619104,1.15542970469769,0.0929187028590633,1.36297410327977
308,0.550578401278674,0.434545430373186,0.116197545430867,1.55722448334915
309,0.487484780904885,0.833182551984544,6.12202051100333e-17,1.75579221567095
310,0.508440277858136,1.04096405696529,0.0860977465672359,1.6671115537528
311,0.650556846635519,0.180199377015951,0.223475709610587,1.93575379795244
312,0.505862928836332,0.7575177186566,0.168131217719686,1.34555895651636
313,0.431784362578992,0.657514432759547,0.162311759013007,0.783808057943298
314,0.504473073258017,0.181764813642846,1.1637888239762e-15,10.2742563198946
315,0.492321937378509,0.815431151487079,0.104938208972404,3.13739505344119
316,0.26024874838177,0.577168593950041,0.56152882197485,1.95020672279353
317,0.51595153717673,0.721051408021563,0.0547095603728031,1.01926438419639
318,0.464650072186177,0.594730278128086,0.476740103285385,2.26564778694942
319,0.197915348170903,0.403872149313421,0.595244762986246,3.97797139998836
320,0.393442285411419,0.516018513547478,0.495555352814568,2.21744409099048
321,0.500693337201401,1.15583906041742,2.80274097385144e-17,0.760443811802534
322,0.503411479439278,0.73593155602826,1.2385618612734e-16,0.308688742402072
323,0.421716596800484,0.74305458237418,0.202299845331401,1.40557548779781
324,0.57033290067523,0.419097698405546,0.512154259191219,0.983391006922006
325,0.508217263986896,-0.00452111889445899,0.999999990172789,0.0511143266920362
326,0.171658353937216,0.0424978686637891,0.735660529304468,1.08215247763764
327,0.5,2.51082658924795e-17,0.230001716806437,0
328,0.0514875768876231,0.181221278579305,0.940891781789594,1.24999483423113
329,0.480449670079933,0.787138709929108,0.144135490939421,1.5200815642736
330,0.475768511681903,0.768472870376402,0.270994743855775,2.26664586529702
331,0.50323154035083,0.885908307769419,2.76527941858271e-16,0.602079658268271
332,0.591165911416813,0.459147583217698,0.384318644200002,0.759240556066846
333,0.230730578473624,0.205450636481511,0.795560194923012,2.10515599330117
334,0.402795930238667,0.310007493729774,0.429561215097813,0.928646775703442
335,0.283083390800873,0.556924771973224,0.0176994675772199,2.27633280350854
336,0.492361768924339,1.15472903550031,3.93763083354189e-17,0.942854924581545
337,0.558727043174912,0.0988088618612179,0.301606286911051,0.204832973965642
338,0.814241554148254,0.086452375227719,0.570472810457994,1.06909236226292
339,0.514291152915541,0.771188548339486,0.00324082685245601,0.468249925188111
340,0.421805923685552,0.623234831405066,0.196056352750103,1.96715641827094
341,0.499783565316877,0.0499672211007471,1.79247246892614e-14,0.58956902125
342,0.568494009300109,0.392530469388306,0.533698294303658,1.54030387250271
343,0.310348636020398,0.605750854303465,0.627277335628759,2.75796761057059
344,0.42302794027316,0.77580672170084,2.11281051741958e-15,2.28172081000952
345,0.488686496303697,0.496497644029951,0.228278192774883,1.41727488005748
346,0.377659440036362,0.513881875153565,0.598272662452123,3.05114519760009
347,0.417695542169488,0.926455455378803,0.0632799848230939,1.16284878424618
348,0.48487749231825,0.72227831907524,0.0879473407194275,1.1517970230469
349,0.438527278961487,0.390408344451909,0.606434326747265,1.71855078179876
350,0.522731695192659,0.606156280292483,0.0907489798669778,0.433711195194914
351,0.571381782386667,0.813431294210003,9.48603643247966e-18,1.24530710307465
352,0.498846511826526,0.433034493867647,0.0125236653391354,0.574316205432401
353,0.200303574732857,0.2279756094807,0.51989329117211,2.78629312498864
354,0.334209008483617,0.283536483193947,0.738788801454568,1.36790547266002
355,0.40174102448046,0.409946442633244,0.150934258776708,1.89630229471683
356,0.510617390841656,0.986378544511832,0.115386859112305,2.13717648570117
357,0.640397220050942,0.0244121207514786,0.785203958473535,7.04159746620762
358,0.503847170212891,0.48420072919797,0.129249405889621,1.12202147680616
359,0.456387358996204,0.739147478523478,0.26253521927929,1.88006924251646
360,0.200426276112214,0.265646876790905,0.514222618155978,3.12995300309615
361,0.427276725855169,1.02067623345785,0.312430036051788,2.80580369323426
362,0.48604587522407,0.567856787330664,0.21683338387272,0.42922431859027
363,0.475929123024177,0.872246427847389,1.97380336087004e-16,2.33040764433093
364,0.47444277370684,1.08408722439676,2.28012682631865e-16,2.5268008901979
365,0.401886184473372,0.466421697449074,0.0366097283630096,1.53521834160395
366,0.370484780846665,0.951832052691271,6.16661817770764e-16,1.68406463893724
367,0.452410474210505,0.297467517573514,0.473749000742012,0.824406374954892
368,0.327631303224006,0.313349090587361,0.620692651407968,1.75197243089767
369,0.567240310502115,0.35151347790221,0.832610759109954,2.85161482611479
370,0.801677689871732,0.0316957747475728,0.978935109831414,0.209092252668363
371,0.494537279384975,0.840520494318742,2.3598005036632e-17,3.09141718345971
372,0.27556998880298,0.242478785107819,0.759804127097134,2.45956465776007
373,0.470584732606573,0.903699856047521,0.0483484829838378,1.17709348401721
374,0.494578958948509,0.707048500549744,0.198546469929065,1.32658719310205
375,0.477550583137629,0.725776717518628,0.0895685390257416,0.569691113154475
376,0.750180122870863,0.338050046978698,0.104653736373542,1.54298062390323
377,0.399824246354139,0.497130127669387,0.793311627849514,0.706037423839132
378,0.199107827445031,0.186779566250536,0.356630577909767,1.37718779155007
379,0.439028031883728,0.232453903481208,0.722928686635094,0.381329484744091
380,0.503620704777872,0.778827160787154,0.0409778740264178,0.678557115875521
381,0.49459983042783,0.252707955709425,0.742269731965781,0.731504196202931
382,0.431726832208407,0.563181136498077,0.507212282976833,0.778639836987806
383,0.49173366118632,0.428791221020895,0.0929395776570959,0.239135797993208
384,0.38260378069082,0.913458501701616,0.132504532803104,2.4134259638283
385,0.582208996537349,0.340317256813457,0.34026120980296,2.67145001255211
386,0.512781172788293,0.670752243069937,0.173610768196933,2.13224911824315
387,0.464246974009241,0.230483974266584,0.238831197529167,1.71785274907924
388,0.480442161936013,0.169264994601814,0.316997182055016,1.39138469313899
389,0.479109747730773,0.428445202505239,0.28582155688808,1.35082510748204
390,0.47782150639662,1.02219186613039,2.98132457340735e-17,1.60392608134609
391,0.530343324331328,0.768181408483361,2.24751350634952e-17,1.36916574063896
392,0.465576319883633,0.79287485363515,0.106044938477238,1.04297087154778
393,0.436240632952464,0.298570799652833,0.265983125364443,0.401112398490943
394,0.414341871681083,0.465574588370109,0.552456800967918,1.70318601877633
395,0.432702715475369,0.786961490103901,0.0691908642811252,1.06387857541623
396,0.308050509061316,0.23731370577686,0.592811355847764,2.27199696506908
397,0.434648577830101,0.0887671786229213,0.392225525248796,6.68738646442556
398,0.512071934186929,0.0287650937489502,0.890948478424574,0.218232949533199
399,0.400859060945571,0.677901178659166,1.1780789809588e-17,0.390936987834214
400,0.466941030794623,0.720229852908262,0.0717563232353732,3.76761924451626
401,0.478928139189798,0.858812075427397,3.82620194677598e-15,1.93944146757546
402,0.512295093583438,0.849683502317473,0.0402656833441759,1.70555536515299
